Year,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
New Caledonia,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,162,155,150,180,272,164,179,257,209,102,94,122,104
Maldives,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,21,22,17,19,30,36,35,33,29,34,58,102,100
Ukraine,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,50,154,56,56,61,81,75,46,42,57,42,81,99
Bahrain,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,168,237,97,56,120,73,80,74,95,69,95,102,94
Afghanistan,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,11,14,25,47,60,54,55,51,49,52,64,80,84
Zimbabwe,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,26,19,34,42,43,44,42,37,51,58,54,78,82
Gabon,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,397,910,"1,121",978,"1,143",597,605,572,462,80
Mauritania,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5,2,2,1,2,1,0,1,1,1,2,2,79
Ethiopia,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,20,24,32,28,35,36,35,45,57,52,54,66,78
Cook Islands,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,30,29,36,44,38,45,46,50,43,51,65,73,76
Honduras,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13,14,14,17,22,21,35,68,53,27,42,82,75
Macau (SAR of China),na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,26,37,34,31,25,26,29,49,75,53,42,88,75
Tanzania,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,30,40,36,46,50,58,52,78,45,48,52,64,70
Iraq,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,19,86,33,33,39,64,57,52,62,64,47,58,70
Zambia,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,9,15,15,32,18,12,19,15,17,16,17,41,64
Oman,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,16,29,115,50,72,38,92,111,221,170,155,92,64
Laos,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,34,36,32,29,44,85,89,40,38,41,48,57,64
Venezuela,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,9,11,9,10,4,11,13,43,25,21,41,66,61
Ghana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,20,22,19,30,30,30,30,154,30,32,34,33,61
Tonga,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,35,39,41,36,34,36,39,38,42,49,51,58,58
Ecuador,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,26,32,31,29,31,40,52,45,66,62,60,58,57
Dominican Republic,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,22,21,20,22,20,25,29,31,38,75,63,50,53
Tunisia,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13,51,18,19,19,19,22,24,32,35,33,40,45
North Macedonia,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,73,82,94,85,87,52,42,44,45
Namibia,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15,18,18,20,15,21,18,20,26,22,28,86,45
Latvia,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,9,10,9,11,10,13,22,26,30,25,29,76,45
Cuba,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,17,17,14,14,12,21,27,26,38,69,55,39,43
Bosnia-Herzegovina,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,46,50,49,56,52,53,41,41,42
Liberia,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2,1,4,20,3,2,2,2,11,47,45,41,40
Madagascar,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2,5,5,4,4,8,11,9,14,15,26,41,39
Iceland,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,30,29,17,17,17,17,21,35,41,37,25,32,38
Uganda,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,18,18,20,21,20,19,21,19,21,24,30,31,37
Botswana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,10,13,11,13,15,15,16,14,11,22,22,28,36
French Polynesia,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,27,27,19,20,23,25,22,30,31,34,36,33,35
Guatemala,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8,10,11,10,15,19,15,20,35,26,32,33,34
Uruguay,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,39,32,40,30,29,35,39,50,38,37,46,22,33
Marshall Islands,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,50,52,42,52,59,77,44,21,14,19,26,34,33
Belarus,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,12,15,12,6,6,8,8,6,7,6,7,24,31
Bolivia,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,9,11,17,15,20,17,30,36,28,20,21,22,29
Nauru,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13,16,6,10,14,19,44,50,50,35,33,30,28
Gibraltar,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1,0,0,0,3,2,1,1,0,0,5,20,27
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,0,27,19,28,22,18,24,27
Panama,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,38,31,22,18,19,13,16,26,27
Nicaragua,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,11,10,11,10,11,15,15,20,22,26,28,23,22
Mongolia,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5,4,4,9,12,22,19,13,20,12,13,18,19
Seychelles,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8,9,9,13,12,10,12,9,9,12,14,20,19
Kazakhstan,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,12,36,15,23,12,9,6,6,9,10,15,13,18
El Salvador,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,11,8,13,12,15,18,20,30,30,21,19,21,18
Togo,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,1,0,8,13,11,28,22,18
Cote d'Ivoire,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13,11,20,21,23,33,9,21,29,22,23,11,15
American Samoa,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,10,7,9,9,8,13,8,14,14,15,13,9,15
Mozambique,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5,6,9,9,23,18,6,4,4,4,32,20,15
Syria,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,31,34,40,41,20,9,4,4,5,7,6,12,15
Guinea,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1,3,3,9,5,5,3,5,2,8,8,9,13
Albania,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,6,4,5,8,10,10,10,13,12,8,6,17,12
Trinidad & Tobago,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,9,28,12,12,8,11,16,14,15,16,15,27,12
Somalia,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1,2,1,1,2,2,4,5,4,13,9,10,11
Sierra Leone,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3,5,7,8,13,8,19,4,4,6,19,12,10
Bhutan,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2,4,2,3,4,5,5,3,3,5,5,12,10
Bahamas,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13,10,14,11,10,9,10,17,20,11,10,12,9
Rwanda,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1,3,2,2,4,3,4,4,6,7,7,7,9
Senegal,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3,2,3,2,3,3,4,2,1,4,5,6,9
Cayman Islands,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,4,5,5,4,3,17,6,17,12,38,9,9
Armenia,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3,2,3,2,2,2,3,3,3,4,5,7,8
Georgia,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5,6,1,3,5,7,4,7,5,6,8,8,8
Kiribati,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,4,5,5,5,9,12,11,13,14,10,8,9,8
Malawi,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,11,5,6,10,4,3,3,6,10,7,12,7,8
Paraguay,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,4,2,3,2,1,1,3,3,3,7,5,4,8
Jamaica,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5,5,5,3,5,4,5,6,7,7,7,6,8
Mali,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,14,9,6,11,6,7,4,25,11,8,4,5,7
Eswatini,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,56,60,58,64,26,4,6,4,3,6,18,15,7
Haiti,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2,1,2,4,3,2,2,1,3,3,6,4,6
Federated States of Micronesia,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2,2,2,2,2,4,3,3,3,4,5,5,6
Burundi,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,1,1,1,1,0,1,2,3,1,4,5
Montenegro,,,,,,,,,,,,,,,,,,,,,,,0,2,7,9,10,8,6,5,5,3,5
Uzbekistan,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1,1,1,3,3,4,3,4,4,2,3,2,5
Barbados,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,6,3,3,5,6,9,11,45,17,5,13,42,4
Moldova,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,2,2,2,2,3,3,1,2,2,2,3,4
Reunion,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1,2,2,5,6,4,1,2,2,3,4,5,4
Guam,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,40,4,4,4,3,3,2,3,5,3,3,3,4
Belize,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3,2,4,1,3,2,4,4,3,1,4,2,3
Dominica,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1,5,1,1,1,2,2,1,3,3,2,5,3
Angola,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3,3,4,6,13,5,36,41,34,14,2,35,3
Niger,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,9,7,4,5,4,4,2,2,4,3,3,6,3
Eritrea,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,1,1,2,2,3,2,1,1,3,4,5,3
Southern and East Africa nec,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,21,75,61,35,46,55,15,7,8,3,8,4,3
UK Virgin Islands,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5,4,4,4,3,5,10,14,15,10,10,7,3
Democratic Republic of the Congo,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,1,0,14,0,6,3,1,1,0,0,3,3
Cameroon,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1,3,4,2,6,2,2,3,3,1,2,4,3
Azerbaijan,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1,1,150,146,86,85,287,87,2,2,2,61,2
Palau,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1,1,1,2,3,4,3,2,2,1,1,1,2
Burkina Faso,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1,0,1,2,1,2,3,2,1,2,2,2,2
Niue,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,2,2,1,1,1,2,1,2,2,2,2,2
Djibouti,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,1,2,0,0,1,2,2,3,2
Kyrgyzstan,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1,2,2,1,1,1,1,1,1,1,2,1,2
Anguilla,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,1,2
Antigua & Barbuda,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3,1,1,0,1,0,2,1,3,2,4,6,2
St Helena,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,1,0,1,1,3,2,2,2
Guyana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2,1,1,1,2,2,0,1,1,1,1,2,1
Lesotho,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,2,1,3,2,2,3,2,1,1,2,1
Suriname,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,1,1,0,0,0,0,1,0,1,2,1,1
Tuvalu,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,2,1,0,0,0,0,0,2,1,1,1,1
Chad,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,1,1
Grenada,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1,0,2,1,0,0,0,1,1,1,1,1,1
Gaza Strip and West Bank,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1,1,1,1,1,1,1,1,1,1,1,1,1
Benin,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1,0,0,0,0,0,1,0,0,0,0,1,1
Gambia,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,1,0,0,0,0,0,0,0,0,1,0,1
Equatorial Guinea,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1,1,0,1,1,1,30,35,47,87,26,0,1
US Virgin Islands,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,4,0,1,1,0,0,0,2,1,2,10,0,1
St Kitts & Nevis,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,83,90,85,89,96,78,87,82,94,42,0,0,0
Falkland Islands,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,1,0,1,0,0,0,0,0,0,1,0
Netherlands Antilles,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15,3,2,2,1,2,1,1,1,0,25,0,0
Polynesia (excl Hawaii) nec,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0
St Lucia,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,1,0,0,1,0,0,0,1,0,0
Central African Republic,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,15,0,0,0,0,0,0
Cabo Verde,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,1,2,0,0,0,0,0,0,0
Sao Tome & Principe,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,2,3,0,0,0,0,1,2,2,0,0
Wallis & Futuna Island,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,1,2,4,4,1,0,0,0,0,1,0,0
Montserrat,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,1,1,0,2,0,0,0,0,2,0,1,0
Comoros,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,1,0,0,0,0,0,0
St Vincent & Grenadines,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2,1,0,0,0,0,0,0,1,0,0,0,0
Turks & Caicos Islands,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,1,0,0,0,0,0,0
Northern Mariana Islands,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0
St Pierre & Miquelon,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,1,0,0,0,0,0,0,0,1,0,0,0
Democratic People's Republic of Korea,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,11,12,48,20,11,19,8,4,5,0,0,0,0
Adelie Land (France),na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0
Antarctica,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Christmas Island,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Cocos Keeling Islands,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
French Antilles,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
French Southern Territories,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Midway Island,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
US Pacific Islands,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,0,na,na,na,na,na,na,na
Former Sudan,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,21,25,24,25,30,29,,,,,,,
Other,"1,671","3,082","2,539","3,599","3,493","4,023","4,427","5,431","5,070","4,352","7,331","7,696","7,126","8,609","8,588","8,753","9,279","10,874","12,159","15,349","13,995","14,473","13,148","17,740","22,121","24,723","24,032","18,878","15,335","17,908","5,547","18,729","19,869"
